paises;basico;superior;razao;basicogdp;superiorgdp;totalgoverno
Australia;8569,568;8288,246;1;1,603;0,769;3,182
Austria;11541,047;18223,778;1,6;0,874;1,633;2,978
Belgium;11310,585;15528,57;1,4;1,516;1,223;4,13
Canada;8810,545;12370,902;1,4;1,866;1,201;3,169
Chile;4390,49;6977,036;1,6;1,254;0,723;2,63
Czech Republic;4884,647;7995,834;1,6;0,749;0,756;2,424
Denmark;;;;;;
Estonia;5849,266;7828,003;1,3;1,244;1,259;2,749
Finland;9265,987;22741,126;2,5;1,436;1,606;3,97
France;7367,476;14385,593;2;1,096;1,14;3,398
Germany;8336,459;15113,016;1,8;0,622;1,012;2,608
Greece;5710,312;3002,516;0,5;1,208;0,725;2,66
Hungary;4416,115;5690,48;1,3;0,712;0,556;2,674
Iceland;11276,948;;;2,21;1,145;4,376
Ireland;8065,643;10093,443;1,3;1,371;0,603;2,511
Israel;9019,356;2312,97;0,3;2,251;0,858;4,033
Italy;8322,898;7589,458;0,9;1,002;0,57;2,78
Japan;;;;1,141;0,45;2,479
Korea;10352,245;11232,468;1,1;1,548;0,656;3,469
Latvia;6465,039;5556,015;0,9;1,6;1,094;3,254
Lithuania;5309,315;7490,609;1,4;0,686;1,078;2,315
Luxembourg;21872,066;45186,645;2,1;1,224;0,487;2,794
Mexico;2715,696;8376,771;3,1;1,639;1,003;3,204
Netherlands;8366,823;14368,933;1,7;1,194;1,165;3,176
New Zealand;7336,186;8626,805;1,2;1,545;0,906;3,784
Norway;13446,629;22795,912;1,7;2,131;1,669;4,612
Poland;6200,52;9478,521;1,5;1,448;1,086;2,929
Portugal;7230,463;7805,79;1,1;1,385;0,749;3,392
Slovak Republic;6185,738;13803,44;2,2;0,86;1,24;2,554
Slovenia;7763,771;8899,439;1,1;1,392;0,863;2,955
Spain;7320,473;10125,058;1,4;1,123;0,85;2,656
Sweden;10892,807;21236,679;1,9;1,763;1,372;3,646
Switzerland;14913,974;28218,6;1,9;1,447;1,276;3,232
Turkey;3653,018;7855,166;2,2;0,963;1,236;2,533
United Kingdom;11690,08;;;1,805;0,467;3,783
United States;11778,526;13183,372;1,1;1,516;0,907;3,207
  Argentina;3923,061;;;;;
  Brazil;3762,268;14261,214;3,8;1,576;0,959;4,061
  Colombia;2847,829;4516,914;1,6;1,601;0,791;3,145
  Costa Rica;4616,875;11275,744;2,4;2,609;1,576;4,995
  India;;;;;;
  Indonesia;1700,111;7817,414;4,6;1,526;0,514;2,492
  Russia;;5955,775;;;0,734;1,843
  South Africa;;;;;;
